instance_id,sweep_type,sweep_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,total_fuel_t,total_co2_t,total_ets_eur,total_ets_usd,total_fueleu_penalty_usd,avg_ghg_gco2eq_per_mj,fueleu_compliant,cii_rating,attained_cii,required_cii,route_valid,strategy_consistent,timeline_monotone,objective_recompute_abs_gap,seed
delay_000,delay,0.0,0.5,0.0,Xpress,MIP_SOLUTION,True,True,0.015467600009287708,0.0,421502.8125,421502.8125,813515.625,500.0,3000.0,0.0,0.0,24990.0,1000.0,817015.625,25990.0,421502.8125,1,1,3,0,1355.859375,4222.14609375,274439.49609375,296394.65578125004,0.0,91.16,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_012,delay,12.0,0.5,12.0,Xpress,MIP_SOLUTION,True,True,0.012295400010771118,0.0,423959.0625,423959.0625,818578.125,600.0,2750.0,0.0,0.0,24990.0,1000.0,821928.125,25990.0,423959.0625,1,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_024,delay,24.0,0.5,24.0,Xpress,MIP_SOLUTION,True,True,0.012400300009176135,0.0,425477.8125,425477.8125,822515.625,700.0,1750.0,0.0,0.0,24990.0,1000.0,824965.625,25990.0,425477.8125,1,1,1,2,1370.859375,4268.85609375,277475.64609374997,299673.69778125,0.0,91.16,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_036,delay,36.0,0.5,36.0,Xpress,MIP_SOLUTION,True,True,0.012067000003298745,0.0,489334.21875,489334.21875,798398.4375,600.0,2750.0,0.0,0.0,174920.0,2000.0,801748.4375,176920.0,489334.21875,2,2,2,2,1330.6640625,4143.687890624999,269339.712890625,290886.88992187503,0.0,91.15999999999998,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_048,delay,48.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.013955400005215779,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_060,delay,60.0,0.5,60.0,Xpress,MIP_SOLUTION,True,True,0.023641100007807836,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_072,delay,72.0,0.5,72.0,Xpress,MIP_SOLUTION,True,True,0.01731479998852592,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_084,delay,84.0,0.5,84.0,Xpress,MIP_SOLUTION,True,True,0.010521200005314313,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_096,delay,96.0,0.5,96.0,Xpress,MIP_SOLUTION,True,True,0.009756499988725409,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
delay_108,delay,108.0,0.5,108.0,Xpress,MIP_SOLUTION,True,True,0.010730000009061769,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
