n_vessels,containers_per_vessel,total_containers,success,fleet_feasible,fleet_optimal,fleet_objective_value,avg_runtime_s,total_runtime_s,first_bad_vessel,first_bad_status,error_message
1,5,5,True,True,True,545409.0625,0.016369699998904252,0.016369699998904252,,,
1,10,10,True,True,True,603538.90625,0.02088759999969625,0.02088759999969625,,,
1,20,20,True,True,True,620230.0,0.0217778999976872,0.0217778999976872,,,
1,40,40,True,True,True,692256.25,0.023610799999005394,0.023610799999005394,,,
1,80,80,True,True,True,697360.9375,0.021466100002726307,0.021466100002726307,,,
1,100,100,True,True,True,697360.9375,0.04513779999979306,0.04513779999979306,,,
1,200,200,True,True,True,697360.9375,0.028878199998871423,0.028878199998871423,,,
1,500,500,True,True,True,697360.9375,0.07299119999879622,0.07299119999879622,,,
2,5,10,True,True,True,959278.28125,0.013044899998931214,0.02608979999786243,,,
2,10,20,True,True,True,1143657.96875,0.01618149999922025,0.0323629999984405,,,
2,20,40,True,True,True,1275459.375,0.02197399999931804,0.04394799999863608,,,
2,40,80,True,True,True,1386867.96875,0.014027650000571157,0.028055300001142314,,,
2,80,160,True,True,True,1394721.875,0.01760515000023588,0.03521030000047176,,,
2,100,200,True,True,True,1394721.875,0.017116300001362106,0.03423260000272421,,,
2,200,400,True,True,True,1394721.875,0.022556399999302812,0.045112799998605624,,,
2,500,1000,True,True,True,1394721.875,0.03955080000014277,0.07910160000028554,,,
3,5,15,True,True,True,1370242.34375,0.010966399999839874,0.032899199999519624,,,
3,10,30,True,True,True,1674809.6875,0.01298056666564662,0.03894169999693986,,,
3,20,60,True,True,True,1812481.25,0.01244806666606261,0.03734419999818783,,,
3,40,120,True,True,True,2016859.84375,0.015286966667190427,0.04586090000157128,,,
3,80,240,True,True,True,2090186.875,0.016825833332404727,0.05047749999721418,,,
3,100,300,True,True,True,2092082.8125,0.019327733333435997,0.05798320000030799,,,
3,200,600,True,True,True,2092082.8125,0.022013766666835483,0.06604130000050645,,,
3,500,1500,True,True,True,2092082.8125,0.041112166668123486,0.12333650000437046,,,
5,5,25,True,True,True,2369153.4375,0.010223740000947145,0.05111870000473573,,,
5,10,50,True,True,True,2872857.03125,0.011459499999909894,0.05729749999954947,,,
5,20,100,True,True,True,3018480.0,0.013297880000754958,0.06648940000377479,,,
5,40,200,True,True,True,3394794.84375,0.013979960000142455,0.06989980000071228,,,
5,80,400,True,True,True,3479804.0625,0.017236839999532093,0.08618419999766047,,,
5,100,500,True,True,True,3481700.0,0.017204859999765176,0.08602429999882588,,,
5,200,1000,True,True,True,3486804.6875,0.0227904799998214,0.113952399999107,,,
5,500,2500,True,True,True,3486804.6875,0.04038583999936236,0.2019291999968118,,,
10,5,50,True,True,True,4714255.15625,0.010144520000540069,0.10144520000540069,,,
10,10,100,True,True,True,5624958.125,0.011079219999737688,0.11079219999737688,,,
10,20,200,True,True,True,6315875.625,0.012900189999345456,0.12900189999345457,,,
10,40,400,True,True,True,6776594.6875,0.013836439999431604,0.13836439999431605,,,
10,80,800,True,True,True,6944717.1875,0.015152499999021529,0.1515249999902153,,,
10,100,1000,True,True,True,6951717.8125,0.018712289999893984,0.18712289999893983,,,
10,200,2000,True,True,True,6973609.375,0.021953949999806356,0.21953949999806355,,,
10,500,5000,True,True,True,6973609.375,0.03853438000005553,0.38534380000055535,,,
20,5,100,True,True,True,9428663.28125,0.01012836999980209,0.20256739999604179,,,
20,10,200,True,True,True,11144750.3125,0.010653369999999995,0.2130673999999999,,,
20,20,400,True,True,True,12390273.4375,0.01143741499981843,0.2287482999963686,,,
20,40,800,True,True,True,13584937.8125,0.012691740000445862,0.2538348000089172,,,
20,80,1600,True,True,True,13876439.375,0.015757959999973536,0.31515919999947073,,,
20,100,2000,True,True,True,13888544.6875,0.015970449999440462,0.31940899998880923,,,
20,200,4000,True,True,True,13947218.75,0.02058933500029525,0.411786700005905,,,
20,500,10000,True,True,True,13947218.75,0.03622971499935375,0.7245942999870749,,,
